latitude,longitude,iceberg_risk,risk_class,iceberg_count
-51.192543,-8.536066,0.0,0,0
-51.264694,-7.733502,0.0,0,0
-51.32955,-6.9277716,0.0,0,0
-51.387573,-6.119376,0.0,0,0
-51.43817,-5.3084354,0.0,0,0
-51.481842,-4.495428,0.0,0,0
-51.51809,-3.6805527,0.0,0,0
-51.547268,-2.8642185,0.0,0,0
-51.56906,-2.046699,0.0,0,0
-51.583675,-1.2283556,0.0,0,0
-51.59095,-0.4095077,0.0,0,0
-51.59095,0.4095077,0.0,0,0
-51.583675,1.2283556,0.0,0,0
-51.56906,2.046699,0.0,0,0
-51.547268,2.8642185,0.0,0,0
-51.51809,3.6805527,0.0,0,0
-51.481842,4.495428,0.0,0,0
-51.43817,5.3084354,0.0,0,0
-51.387573,6.119376,0.0,0,0
-51.32955,6.9277716,0.0,0,0
-51.264694,7.733502,0.0,0,0
-51.192543,8.536066,0.0,0,0
-51.113594,9.335362,0.0,0,0
-51.027534,10.130929,0.0,0,0
-50.934715,10.922636,0.0,0,0
-50.834995,11.710091,0.0,0,0
-50.728573,12.493119,0.0,0,0
-50.615456,13.271423,0.0,0,0
-50.49572,14.044761,0.0,0,0
-50.369514,14.812952,0.0,0,0
-50.23679,15.575666,0.0,0,0
-50.097828,16.332863,0.0,0,0
-49.95246,17.08411,0.0,0,0
-49.80109,17.829517,0.0,0,0
-49.643448,18.568539,0.0,0,0
-49.480045,19.301437,0.0,0,0
-49.31053,20.02758,0.0,0,0
-49.135437,20.747297,0.0,0,0
-48.954514,21.460041,0.0,0,0
-48.768143,22.166039,0.0,0,0
-48.576214,22.864899,0.0,0,0
-48.378998,23.556732,0.0,0,0
-48.176487,24.241302,0.0,0,0
-47.968857,24.918606,0.0,0,0
-47.756203,25.588573,0.0,0,0
-47.538597,26.251064,0.0,0,0
-47.316235,26.906178,0.0,0,0
-47.089096,27.553648,0.0,0,0
-46.857468,28.193747,0.0,0,0
-46.62124,28.82606,0.0,0,0
-46.380783,29.451038,0.0,0,0
-46.135914,30.06812,0.0,0,0
-45.88703,30.677874,0.0,0,0
-45.633987,31.279774,0.0,0,0
-45.377117,31.874302,0.0,0,0
-45.116333,32.461082,0.0,0,0
-44.851902,33.04046,0.0,0,0
-44.58381,33.612213,0.0,0,0
-44.31224,34.17654,0.0,0,0
-44.03726,34.7334,0.0,0,0
-43.75896,35.28284,0.0,0,0
-43.477497,35.82498,0.0,0,0
-43.192886,36.359726,0.0,0,0
-42.905334,36.887352,0.0,0,0
-42.61481,37.407616,0.0,0,0
-42.321556,37.92096,0.0,0,0
-42.025505,38.427,0.0,0,0
-41.72692,38.9263,0.0,0,0
-41.425716,39.418407,0.0,0,0
-41.122158,39.903885,0.0,0,0
-40.81618,40.3824,0.0,0,0
-40.508003,40.85435,0.0,0,0
-40.197605,41.319572,0.0,0,0
-39.885147,41.77832,0.0,0,0
-39.570667,42.230556,0.0,0,0
-39.93506,-42.66238,0.0,0,0
-40.253086,-42.209488,0.0,0,0
-40.569107,-41.749954,0.0,0,0
-40.883083,-41.283833,0.0,0,0
-41.194862,-40.810837,0.0,0,0
-41.50444,-40.33116,0.0,0,0
-41.811623,-39.844368,0.0,0,0
-42.11646,-39.350815,0.0,0,0
-42.418682,-38.849907,0.0,0,0
-42.718388,-38.34211,0.0,0,0
-43.015297,-37.826855,0.0,0,0
-43.309486,-37.30451,0.0,0,0
-43.60071,-36.774635,0.0,0,0
-43.888992,-36.237465,0.0,0,0
-44.174126,-35.69272,0.0,0,0
-44.456093,-35.140488,0.0,0,0
-44.73474,-34.580643,0.0,0,0
-45.00997,-34.01313,0.0,0,0
-45.281715,-33.437996,0.0,0,0
-45.549786,-32.85503,0.0,0,0
-45.814194,-32.26445,0.0,0,0
-46.074684,-31.665894,0.0,0,0
-46.33133,-31.059753,0.0,0,0
-46.58378,-30.445526,0.0,0,0
-46.832207,-29.823742,0.0,0,0
-47.076187,-29.193823,0.0,0,0
-47.31591,-28.556335,0.0,0,0
-47.551,-27.910812,0.0,0,0
-47.78157,-27.257671,0.0,0,0
-48.00732,-26.596632,0.0,0,0
-48.22828,-25.927965,0.0,0,0
-48.444237,-25.251568,0.0,0,0
-48.65512,-24.56757,0.0,0,0
-48.860832,-23.876049,0.0,0,0
-49.061207,-23.177002,0.0,0,0
-49.256226,-22.470673,0.0,0,0
-49.445618,-21.756935,0.0,0,0
-49.62951,-21.036198,0.0,0,0
-49.80749,-20.308218,0.0,0,0
-49.979824,-19.573563,0.0,0,0
-50.145966,-18.831882,0.0,0,0
-50.306267,-18.083838,0.0,0,0
-50.46021,-17.329147,0.0,0,0
-50.608067,-16.56838,0.0,0,0
-50.749428,-15.8014145,0.0,0,0
-50.884453,-15.028702,0.0,0,0
-51.01286,-14.250281,0.0,0,0
-51.134697,-13.466495,0.0,0,0
-51.24981,-12.677527,0.0,0,0
-51.35812,-11.88363,0.0,0,0
-51.45962,-11.085114,0.0,0,0
-51.5541,-10.282154,0.0,0,0
-51.64171,-9.475168,0.0,0,0
-51.722084,-8.66428,0.0,0,0
-51.79554,-7.8499813,0.0,0,0
-51.861584,-7.03237,0.0,0,0
-51.920654,-6.211975,0.0,0,0
-51.972183,-5.388917,0.0,0,0
-52.016647,-4.563698,0.0,0,0
-52.053562,-3.7365236,0.0,0,0
-52.083282,-2.9078245,0.0,0,0
-52.105476,-2.0778844,0.0,0,0
-52.120358,-1.2470825,0.0,0,0
-52.127766,-0.41575253,0.0,0,0
-52.127766,0.41575253,0.0,0,0
-52.120358,1.2470825,0.0,0,0
-52.105476,2.0778844,0.0,0,0
-52.083282,2.9078245,0.0,0,0
-52.053562,3.7365236,0.0,0,0
-52.016647,4.563698,0.0,0,0
-51.972183,5.388917,0.0,0,0
-51.920654,6.211975,0.0,0,0
-51.861584,7.03237,0.0,0,0
-51.79554,7.8499813,0.0,0,0
-51.722084,8.66428,0.0,0,0
-51.64171,9.475168,0.0,0,0
-51.5541,10.282154,0.0,0,0
-51.45962,11.085114,0.0,0,0
-51.35812,11.88363,0.0,0,0
-51.24981,12.677527,0.0,0,0
-51.134697,13.466495,0.0,0,0
-51.01286,14.250281,0.0,0,0
-50.884453,15.028702,0.0,0,0
-50.749428,15.8014145,0.0,0,0
-50.608067,16.56838,0.0,0,0
-50.46021,17.329147,0.0,0,0
-50.306267,18.083838,0.0,0,0
-50.145966,18.831882,0.0,0,0
-49.979824,19.573563,0.0,0,0
-49.80749,20.308218,0.0,0,0
-49.62951,21.036198,0.0,0,0
-49.445618,21.756935,0.0,0,0
-49.256226,22.470673,0.0,0,0
-49.061207,23.177002,0.0,0,0
-48.860832,23.876049,0.0,0,0
-48.65512,24.56757,0.0,0,0
-48.444237,25.251568,0.0,0,0
-48.22828,25.927965,0.0,0,0
-48.00732,26.596632,0.0,0,0
-47.78157,27.257671,0.0,0,0
-47.551,27.910812,0.0,0,0
-47.31591,28.556335,0.0,0,0
-47.076187,29.193823,0.0,0,0
-46.832207,29.823742,0.0,0,0
-46.58378,30.445526,0.0,0,0
-46.33133,31.059753,0.0,0,0
-46.074684,31.665894,0.0,0,0
-45.814194,32.26445,0.0,0,0
-45.549786,32.85503,0.0,0,0
-45.281715,33.437996,0.0,0,0
-45.00997,34.01313,0.0,0,0
-44.73474,34.580643,0.0,0,0
-44.456093,35.140488,0.0,0,0
-44.174126,35.69272,0.0,0,0
-43.888992,36.237465,0.0,0,0
-43.60071,36.774635,0.0,0,0
-43.309486,37.30451,0.0,0,0
-43.015297,37.826855,0.0,0,0
-42.718388,38.34211,0.0,0,0
-42.418682,38.849907,0.0,0,0
-42.11646,39.350815,0.0,0,0
-41.811623,39.844368,0.0,0,0
-41.50444,40.33116,0.0,0,0
-41.194862,40.810837,0.0,0,0
-40.883083,41.283833,0.0,0,0
-40.569107,41.749954,0.0,0,0
-40.253086,42.209488,0.0,0,0
-39.93506,42.66238,0.0,0,0
-40.297985,-43.101227,0.0,0,0
-40.61959,-42.647766,0.0,0,0
-40.93921,-42.18754,0.0,0,0
-41.256798,-41.720604,0.0,0,0
-41.572205,-41.24666,0.0,0,0
-41.88543,-40.765896,0.0,0,0
-42.196274,-40.27788,0.0,0,0
-42.504784,-39.78296,0.0,0,0
-42.81069,-39.280533,0.0,0,0
-43.11409,-38.77106,0.0,0,0
-43.414703,-38.253963,0.0,0,0
