id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
a68k,22,2021-01-29,2021-02-19,21,-56.99,-55.47,-35.99,-34.42
a68l,16,2021-01-29,2021-02-13,15,-57.08,0.0,-34.34,0.0
a68m,41,2021-01-31,2021-03-12,40,-56.97,-56.44,-36.21,-34.88
a68n,15,2021-02-12,2021-02-26,14,-56.19,-55.8,-35.94,-34.48
a68o,8,2021-02-12,2021-02-19,7,-56.09,-55.92,-35.76,-35.16
a68p,15,2021-02-12,2021-02-26,14,-56.26,-55.66,-35.5,-33.67
a69,39,2020-06-26,2020-08-03,38,-68.9833,0.0,-60.7,0.0
a69a,898,2020-07-09,2023-01-13,918,-69.0667,0.0,-61.28,0.0
a69b,770,2020-07-10,2022-09-10,792,-68.9333,0.0,-61.24,0.0
a69c,328,2021-10-29,2022-09-21,327,-66.83,0.0,-59.73,0.0
a70,886,2021-01-08,2023-07-05,908,-72.51,0.0,-61.8,0.0
a71,161,2021-01-08,2021-06-17,160,-72.62,0.0,-60.71,0.0
a72,37,2021-01-22,2021-02-27,36,-69.56,0.0,-60.82,0.0
a73,44,2021-01-22,2021-03-06,43,-69.69,0.0,-60.51,0.0
a74,436,2021-03-05,2022-05-27,448,-77.66,-75.19,-45.35,-25.78
a74a,1812,2021-02-28,2026-04-03,1860,-76.59,0.0,-58.54,0.0
a74b,442,2022-06-10,2023-08-25,441,-76.37,0.0,-55.14,0.0
a75,86,2021-03-26,2021-06-21,87,-74.13,0.0,-60.49,0.0
a76,10,2021-05-14,2021-05-23,9,-75.26,0.0,-58.99,0.0
a76a,821,2021-05-27,2023-08-25,820,-75.14,0.0,-59.43,0.0
a76b,821,2021-05-27,2023-08-25,820,-75.09,0.0,-60.29,0.0
a76c,1752,2021-05-27,2026-04-22,1791,-75.57,0.0,-60.22,0.0
a76d,113,2023-05-05,2023-08-25,112,-54.55,0.0,-42.42,0.0
a76e,83,2023-05-12,2023-08-18,98,-53.65,0.0,-44.4,0.0
a76f,101,2023-05-12,2023-08-25,105,-55.74,0.0,-41.44,0.0
a76g,106,2023-05-12,2023-08-25,105,-54.92,0.0,-41.05,0.0
